start,date,fomc_latest,Event,FF1,FF2,FF3,FF4,MP1,ED1,ED2,ED3,ED4,TFUT02,TFUT05,TFUT10,TFUT30,SP500,SP500FUT,EUR,FF4_MR
2/24/1989 11:30,2/24/1989,2/9/1989,FOMC Rate Decision (Unscheduled),,,,,,-0.05,-0.04,-0.04,-0.03,,-0.01981,-0.00495,-0.00739,-0.04164,-0.12099,,0.01
3/29/1989 11:30,3/29/1989,3/29/1989,FOMC Rate Decision (Scheduled),,,,,-0.07,-0.02,-0.01,-0.03,-0.02,,-0.00397,-0.01483,-0.00736,0.0137,0.08447,,0.01
5/17/1989 11:30,5/17/1989,5/17/1989,FOMC Rate Decision (Scheduled),,,,,-0.02214,-0.02,-0.01,-0.01,-0.03,,-0.01154,-0.00473,0,0.01584,0.03149,,0.01
6/6/1989 11:30,6/6/1989,5/17/1989,FOMC Rate Decision (Unscheduled),,,,,-0.0125,-0.03,-0.04,-0.05,-0.04,,-0.01879,-0.01824,-0.01317,0.09882,0.21545,,0
7/7/1989 11:30,7/7/1989,7/7/1989,FOMC Rate Decision (Scheduled),,,,,-0.02583,-0.03,-0.04,-0.05,-0.03,,-0.0294,-0.02667,-0.01567,0.27878,0.41364,,-0.01
7/25/1989 11:30,7/25/1989,7/7/1989,FOMC Rate Decision (Unscheduled),,,,,,-0.03,-0.05,-0.05,-0.03,,-0.02203,-0.00887,-0.00315,0.06848,0.05907,,-0.02
7/26/1989 11:30,7/26/1989,7/7/1989,FOMC Rate Decision (Unscheduled),,,,,-0.01,-0.02,-0.01,-0.02,-0.01,,-0.01466,-0.00443,-0.00627,0.10164,0.07418,,0
7/27/1989 11:30,7/27/1989,7/7/1989,FOMC Rate Decision (Unscheduled),,,,,,-0.01,-0.01,0,-0.02,,0,0.00441,0.00624,0.26775,0.18977,,-0.02
8/23/1989 11:30,8/23/1989,8/23/1989,FOMC Rate Decision (Scheduled),,,,,0,-0.01,-0.02,-0.01,-0.02,,-0.00751,-0.00908,-0.00321,0.09061,-0.04368,,0
10/4/1989 11:30,10/4/1989,10/4/1989,FOMC Rate Decision (Scheduled),,,,,0.03444,0.01,0.01,0,0,,0.0075,0.00453,0.00319,0.07874,0.05565,,0.01
10/16/1989 11:30,10/16/1989,10/4/1989,FOMC Rate Decision (Unscheduled),,,,,-0.20667,0.01,0,0.04,0.03,,0,0.01776,0.01548,0.8095,0.96048,,0.01
10/19/1989 11:30,10/19/1989,10/4/1989,FOMC Rate Decision (Scheduled),,,,,,0.01,0.01,0.01,0.01,,0,-0.00888,-0.0031,0.01446,0.02871,,0
11/7/1989 11:30,11/7/1989,10/4/1989,FOMC Rate Decision (Unscheduled),,,,,-0.10435,-0.07,-0.07,-0.06,-0.05,,-0.04429,-0.03097,-0.0215,0.33369,0.59782,,-0.01
11/8/1989 11:30,11/8/1989,10/4/1989,FOMC Rate Decision (Unscheduled),,,,,,0.01,0.01,0,0,,-0.00367,-0.0044,0,0.02072,-0.05885,,0
11/9/1989 11:30,11/9/1989,10/4/1989,FOMC Rate Decision (Unscheduled),,,,,,0.04,0.04,0.03,0.02,,0.02567,0.01755,0.01828,-0.16261,-0.30871,,0
11/15/1989 11:30,11/15/1989,11/15/1989,FOMC Rate Decision (Scheduled),,,,,-0.02,0.01,0.01,0.01,0,,0.01098,0.00877,0.00913,-0.04727,-0.10283,,0.12
12/20/1989 11:30,12/20/1989,12/20/1989,FOMC Rate Decision (Scheduled),,,,,-0.16909,-0.04,-0.03,-0.03,-0.02,,-0.0073,0,0.00302,0.3031,0.15819,,0.05
2/8/1990 11:30,2/8/1990,2/8/1990,FOMC Rate Decision (Scheduled),-0.01,-0.01,-0.02,-0.02,-0.014,0.01,0.02,0,0.01,,0.01134,0.01382,0.01331,-0.1519,-0.28154,,0
3/28/1990 11:30,3/28/1990,3/28/1990,FOMC Rate Decision (Scheduled),0,0,-0.01,-0.02,0,-0.01,-0.03,-0.03,-0.03,,-0.01142,-0.00464,-0.01007,-0.17591,-0.10154,,0
5/16/1990 11:30,5/16/1990,5/16/1990,FOMC Rate Decision (Scheduled),0,0.01,0,0,0,-0.01,-0.02,-0.01,-0.02,,-0.01145,-0.00938,-0.01028,0.05109,0.25427,,-0.03
7/5/1990 11:30,7/5/1990,7/5/1990,FOMC Rate Decision (Scheduled),0,-0.01,0,-0.02,0,0.01,0.01,0.01,0.01,,0.01129,0.00458,0.00661,-0.00841,-0.04165,,0.08
7/13/1990 11:30,7/13/1990,7/5/1990,FOMC Rate Decision (Unscheduled),-0.07999,-0.06,-0.08,-0.08,-0.13777,-0.03,-0.04,-0.04,-0.03,,-0.01884,0.00461,0.00334,0.0407,-0.10744,,-0.05
8/22/1990 11:30,8/22/1990,8/22/1990,FOMC Rate Decision (Scheduled),0,0.01,0,0,0,0.01,0,0,0,,-0.00761,-0.00952,-0.01441,0.19733,0.07786,,0
10/3/1990 11:30,10/3/1990,10/3/1990,FOMC Rate Decision (Scheduled),0.01,-0.01,-0.04,-0.00999,0.01107,-0.01,0,-0.01,0,,-0.00753,-0.01407,-0.01058,-0.1207,0,,0.02
10/29/1990 11:30,10/29/1990,10/3/1990,FOMC Rate Decision (Unscheduled),-0.02,-0.03,-0.01,-0.02,-0.03,0.01,0,0.01,0,,0.00749,0.01398,0.01045,-0.52277,-0.53637,,0
11/14/1990 11:30,11/14/1990,11/14/1990,FOMC Rate Decision (Scheduled),0.01,0.02,0.02,0.01,0.01875,0.01,0.01,-0.01,-0.01,,0.00742,0.00914,0.0067,-0.01568,-0.07803,,-0.15
12/7/1990 11:30,12/7/1990,11/14/1990,FOMC Rate Decision (Unscheduled),-0.07,-0.01,-0.02,-0.04,-0.09042,-0.03,-0.02,-0.02,-0.03,,-0.01464,-0.00893,-0.0064,0.08546,0.16721,,0
