monthly,mr_new,mr_rep,mr_ext
2005m1,0,0,0
2005m2,-.0066391397,-.0084768496,-.0050465944
2005m3,.007384622,.0027068192,.0078157317
2005m4,0,0,0
2005m5,.013650998,.019180687,.014458982
2005m6,.032238375,.011801389,.019717278
2005m7,0,0,0
2005m8,-.022424627,-.0060051894,-.017329166
2005m9,.038211945,.020991974,.039685499
2005m10,0,0,0
2005m11,-.01348755,-.0095175607,.0023642296
2005m12,.0066844909,-.0024246199,.0015046964
2006m1,.013805827,.021726072,.016463146
2006m2,0,0,0
2006m3,.032511469,.048181351,.041571062
2006m4,0,0,0
2006m5,.052489627,.064375691,.053398605
2006m6,-.0088272151,-.0060578124,-.0036586677
2006m7,0,0,0
2006m8,-.0084885973,-.024892988,-.017861053
2006m9,.0079153311,.011463998,.010751823
2006m10,.006313602,-.010777493,.0026074303
2006m11,0,0,0
2006m12,.046576392,.043334145,.034243762
2007m1,.012763791,.0021204823,.01116963
2007m2,0,0,0
2007m3,-.0032356726,-.024570795,-.0093545001
2007m4,0,0,0
2007m5,.020895945,.036474142,.024664775
2007m6,.0083540203,.014881893,.012983152
2007m7,0,0,0
2007m8,.035846446,.059240144,.025249366
2007m9,-.12709735,-.12404257,-.12732035
2007m10,.039594091,.046795186,.040434446
2007m11,0,0,0
2007m12,.070127666,.094889618,.085859895
2008m1,-.17931005,-.1855219,-.1828527
2008m2,0,0,0
2008m3,.22240311,.19932926,.21661544
2008m4,-.011278373,.01191707,.0077412082
2008m5,0,0,0
2008m6,.024210222,.028595142,-.044962309
2008m7,0,0,0
2008m8,-.020866187,.017645137,.025426885
2008m9,.096085623,.10687241,.10628852
2008m10,.023951318,-.042205099,-.041238677
2008m11,-.0053594252,.055597905,.053583894
2008m12,-.090701506,-.022529582,-.060590073
2009m1,.069878832,.021004044,.055038959
2009m2,0,0,0
2009m3,.038507536,.052083258,.052674197
2009m4,.028103031,.022377959,.024540806
2009m5,0,0,0
2009m6,.065931611,.059701417,.077295408
2009m7,0,0,0
2009m8,.030716561,.027333515,.012895266
2009m9,-.031388298,-.040082689,-.039489374
2009m10,0,0,0
2009m11,-.041932207,-.024792843,-.011176448
2009m12,-.0036877496,-.012225131,-.0078145983
2010m1,-.010254392,,-.0082394453
2010m2,0,,0
2010m3,-.040381625,,-.018763356
2010m4,-.0031920178,,-.0076922006
2010m5,0,,0
2010m6,-.00026356688,,.001766197
2010m7,0,,0
2010m8,-.0098858513,,-.0081625953
