schedstr,MP1,FF1,FF2,FF3,FF4,ED1,ED2,ED3,ED4,x_year,x_date,y
1992-08-19,0.02583,0.01,0.01,0.01,0.01,-0.01,0.01,-0.01,-0.01,1992.6253062336432,1992-08-16 20:41:23.842758304,-1.689368438626258
1992-10-07,0.0,0.0,0.00999,0.00999,0.01,0.0,0.0,0.0,0.0,1992.762869520528,1992-10-06 05:02:45.125946415,-0.9598753232135336
1992-11-18,-0.04999,-0.02,-0.01,0.01,0.0,0.0,-0.01,0.0,0.01,1992.8791705721976,1992-11-17 18:38:03.502261662,-2.243331339967152
1992-12-23,0.03873,0.00999,0.0,-0.02,-0.01,-0.01,-0.01,-0.01,-0.04,1992.979744319724,1992-12-24 14:04:26.776039500,-0.2951706009723402
1993-02-04,0.0,0.0,-0.02,-0.04,-0.02,0.0,-0.01,0.0,0.0,1993.086212993839,1993-02-01 11:13:32.973703515,0.2577825129437241
1993-03-24,0.0,-0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.04,1993.2340329387089,1993-03-27 10:07:42.755123196,0.4694984478129548
1993-05-19,-0.02583,-0.01,-0.02,-0.02,-0.02,0.0,-0.01,-0.02,-0.03,1993.3788668493364,1993-05-19 06:52:24.960673289,0.6695543850303411
1993-07-08,0.02696,0.02,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,1993.5216005718323,1993-07-10 09:13:15.633304138,-0.416058895515691
1993-08-18,0.0,0.0,0.02,0.01,0.01,0.01,0.0,0.0,0.0,1993.647378505484,1993-08-25 07:02:08.548946093,0.7599492593170111
1993-09-22,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,-0.02,1993.722842565708,1993-09-21 20:06:03.152170831,0.84999313797473
1993-11-17,0.02308,0.01,0.0,0.01,0.0,-0.01,-0.01,-0.01,0.0,1993.881195593692,1993-11-18 15:16:24.242668631,0.4806647373273734
1993-12-22,0.0,0.0,-0.01,-0.01,-0.01,0.0,0.0,0.0,-0.08,1993.9689670006496,1993-12-20 16:09:03.332486640,0.0163065201136132
1994-02-04,0.163333333,0.14,0.10001,0.08,0.0,0.13,0.15,0.14,0.15,1994.119827621939,1994-02-13 17:41:23.885470394,0.5576857781622312
1994-03-22,0.0,0.0,-0.04,-0.04,0.0,-0.05,-0.05,-0.03,-0.04,1994.2482335228635,1994-04-01 14:31:32.377024260,0.5362750447962431
1994-05-17,0.110714286,0.05,0.05,-0.02,0.05,-0.04,-0.06,-0.07,-0.07,1994.3871355430767,1994-05-22 07:18:26.486468012,0.5590042617427764
1994-07-06,-0.0496,-0.04,0.0,0.0,0.0,-0.015,-0.01,-0.005,-0.01,1994.5090727745571,1994-07-05 19:28:39.018433517,0.7914848665950368
1994-08-16,0.124,0.06,0.09,0.0,0.0,0.08,0.03,0.01,0.01,1994.62618381614,1994-08-17 13:22:12.825788776,0.886599282107904
1994-09-27,-0.09,-0.02,-0.09,-0.05,-0.03,-0.03,-0.025,-0.01,-0.005,1994.748070423251,1994-10-01 01:05:48.867642438,0.8955618204948392
1994-11-15,0.12,0.06,0.08,0.05,0.08,0.04,0.03,0.02,0.035,1994.8812901392275,1994-11-18 16:06:05.830679407,1.743174414931768
1994-12-20,-0.225454545,-0.08,-0.14,-0.05,-0.05,-0.07,-0.005,0.015,0.04,1994.941858099243,1994-12-10 18:40:37.017729243,1.5785983501590548
1995-02-01,0.072592593,0.07,0.02,0.05,0.045,0.06,0.07,0.07,0.06,1995.0940879891948,1995-02-04 08:12:38.827247351,2.3259567573758844
1995-03-28,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.03,0.02,1995.23626371864,1995-03-28 05:40:12.631030253,1.8583675803981965
1995-05-23,0.0,0.0,0.02,0.0,0.0,-0.01,-0.02,-0.005,-0.01,1995.394301750547,1995-05-24 22:05:00.005247090,-0.3657027226155734
1995-07-06,-0.0868,-0.07,-0.1,-0.14,-0.145,-0.2,-0.27,-0.265,-0.25,1995.5012091691976,1995-07-02 22:35:32.359816671,-0.5128553900811424
1995-08-22,0.034444444,0.01,0.03,0.01,0.01,0.055,0.04,0.06,0.04,1995.641168676242,1995-08-23 00:38:15.373965569,-1.1444450247140332
1995-09-26,0.02,0.0,0.02,0.03,0.04,0.07,0.07,0.07,0.05,1995.73085333792,1995-09-24 18:16:30.864646778,-0.0705177031376669
1995-11-15,0.06,0.03,0.02,0.03,0.02,0.04,0.025,0.02,0.025,1995.8597647040028,1995-11-10 19:32:19.705433173,-1.0849422657189771
1995-12-19,-0.0775,-0.03,-0.08,-0.07,-0.04,-0.045,-0.04,-0.04,-0.04,1995.9685480367928,1995-12-20 12:28:50.888296289,-1.0932772869205682
