Date,schedstr,MP1,MP2,FF1,FF2,FF3,FF4,FF5,FF6,ED1,ED2,ED3,ED4
4/1/1994,,0.150025,-0.005030357,0.06001,0.08,0.09,0.12,0,0,0.08,0.09,0.08,0.11
5/1/1994,5/17/1994,0.110714286,-0.051371429,0.05,0.05,-0.02,0.05,-0.05,0,-0.04,-0.06,-0.07,-0.07
6/1/1994,,,,,,,,,,,,,
7/1/1994,7/6/1994,-0.0496,0.052906667,-0.04,0,0,0,0,0,-0.015,-0.01,-0.005,-0.01
8/1/1994,8/16/1994,0.124,0,0.06,0.09,0,0,0,0,0.08,0.03,0.01,0.01
9/1/1994,9/27/1994,-0.09,-0.01,-0.02,-0.09,-0.05,-0.03,0,0,-0.03,-0.025,-0.01,-0.005
10/1/1994,,,,,,,,,,,,,
11/1/1994,11/15/1994,0.12,0.007272727,0.06,0.08,0.05,0.08,0.08,0.08,0.04,0.03,0.02,0.035
12/1/1994,12/20/1994,-0.225454545,-0.043501684,-0.08,-0.14,-0.05,-0.05,-0.05,-0.05,-0.07,-0.005,0.015,0.04
1/1/1995,,,,,,,,,,,,,
2/1/1995,2/1/1995,0.072592593,0.05,0.07,0.02,0.05,0.045,0,0,0.06,0.07,0.07,0.06
3/1/1995,3/28/1995,0,0,0,0,0,0.01,0.01,0.05,0.01,0.02,0.03,0.02
4/1/1995,,,,,,,,,,,,,
5/1/1995,5/23/1995,0,0,0,0.02,0,0,-0.01,0,-0.01,-0.02,-0.005,-0.01
6/1/1995,,,,,,,,,,,,,
7/1/1995,7/6/1995,-0.0868,-0.132266667,-0.07,-0.1,-0.14,-0.145,0,0,-0.2,-0.27,-0.265,-0.25
8/1/1995,8/22/1995,0.034444444,0.01,0.01,0.03,0.01,0.01,0.02,0,0.055,0.04,0.06,0.04
9/1/1995,9/26/1995,0.02,0.04,0,0.02,0.03,0.04,0.025,0,0.07,0.07,0.07,0.05
10/1/1995,,,,,,,,,,,,,
11/1/1995,11/15/1995,0.06,-0.043333333,0.03,0.02,0.03,0.02,0.04,0,0.04,0.025,0.02,0.025
12/1/1995,12/19/1995,-0.0775,-0.07,-0.03,-0.08,-0.07,-0.04,-0.09,-0.11,-0.045,-0.04,-0.04,-0.04
1/1/1996,1/31/1996,-0.03,-0.01,-0.0025,-0.03,-0.01,-0.01,-0.005,-0.035,-0.025,-0.03,-0.04,-0.04
2/1/1996,,,,,,,,,,,,,
3/1/1996,3/26/1996,0.02,-0.011,0,0.02,0.01,0,0.01,0,0.015,0.02,0.03,0.03
4/1/1996,,,,,,,,,,,,,
5/1/1996,5/21/1996,0.0155,0.009410714,0.005,-0.0025,0.01,0.02,0.02,0.02,0,0.01,0.01,0.03
6/1/1996,,,,,,,,,,,,,
7/1/1996,7/3/1996,-0.060892857,-0.002012987,-0.055,-0.04,-0.035,-0.025,-0.03,0,-0.05,-0.025,-0.015,-0.01
8/1/1996,8/20/1996,-0.028181818,0,-0.01,-0.01,0,0.01,0.01,0,-0.03,0,0.01,0.01
9/1/1996,9/24/1996,-0.13,-0.112352941,-0.025,-0.13,-0.12,-0.12,-0.07,-0.05,-0.1,-0.08,-0.09,-0.085
10/1/1996,,,,,,,,,,,,,
11/1/1996,11/13/1996,0,0,0,0,0,-0.01,0,-0.02,-0.01,-0.015,-0.02,-0.025
12/1/1996,12/17/1996,0,0,0,0.01,0,0.01,0,0.01,-0.015,-0.01,-0.01,0.05
1/1/1997,,,,,,,,,,,,,
2/1/1997,2/5/1997,-0.030434783,-0.01,-0.025,-0.01,-0.01,0,0,0.02,-0.02,0.005,0.01,0.03
3/1/1997,3/25/1997,0.05,0.021818182,0.015,0.05,0.04,0.05,0.03,0.04,0.04,0.06,0.06,0.055
4/1/1997,,,,,,,,,,,,,
5/1/1997,5/20/1997,-0.084545455,-0.068996865,-0.03,-0.085,-0.07,-0.08,-0.08,-0.06,-0.065,-0.0525,-0.045,-0.045
6/1/1997,,,,,,,,,,,,,
7/1/1997,7/2/1997,-0.02137931,0.008017241,-0.02,-0.01,-0.02,-0.02,0,-0.11,-0.01,-0.0025,-0.005,0
8/1/1997,8/19/1997,0,0,0,-0.01,0,0,0.01,0,-0.0025,0.005,0.0125,0.0125
9/1/1997,9/30/1997,-0.015,-0.006666667,-0.0035,-0.015,-0.01,-0.02,-0.02,-0.02,0,-0.005,0,0
10/1/1997,,,,,,,,,,,,,
11/1/1997,11/12/1997,-0.05,-0.029333333,-0.03,-0.04,-0.03,-0.02,-0.03,0,-0.0325,-0.03,-0.03,-0.0375
12/1/1997,12/16/1997,0,0,0,0,0,0,-0.02,0.01,0.005,-0.0075,0.0175,0.015
1/1/1998,,,,,,,,,,,,,
2/1/1998,2/4/1998,0.035,0.01,0.03,0.03,0.01,0.01,0.01,0.02,0.01,0.015,0.0175,0.02
3/1/1998,3/31/1998,-0.005,-0.017916667,-0.005,-0.005,-0.01,0.001,0,-0.01,0.0025,-0.0025,0.005,0
4/1/1998,,,,,,,,,,,,,
5/1/1998,5/19/1998,-0.03875,-0.019375,-0.015,-0.03,-0.02,-0.01,0,-0.02,-0.0275,-0.01,-0.01,-0.015
6/1/1998,,,,,,,,,,,,,
7/1/1998,7/1/1998,-0.005166667,-0.040538462,-0.005,-0.02,0,0.01,-0.04,-0.01,-0.025,-0.03,-0.04,-0.045
8/1/1998,8/18/1998,0.011923077,0.01,0.005,0,0.01,0.02,0,0,0.0075,0.005,0.015,0.025
9/1/1998,9/29/1998,0.055,0.066538462,0.005,0.055,0.06,0.07,0.04,0.02,0.0575,0.005,0.0125,0.015
10/1/1998,,-0.1646875,-0.153870192,-0.085,-0.16,-0.14,-0.14,-0.13,-0.12,-0.165,-0.165,-0.19,-0.19
11/1/1998,11/17/1998,-0.069230769,0.065897436,-0.03,-0.03,-0.04,-0.04,0,-0.04,-0.0275,-0.02,0.005,0.005
12/1/1998,12/22/1998,-0.017222222,0.002066667,-0.005,0,0,0.01,0.02,0,0.01,-0.0075,-0.01,0.0025
1/1/1999,,,,,,,,,,,,,
2/1/1999,2/3/1999,0.0056,0.01,0.005,-0.01,0.01,0.01,0.01,0,-0.005,0.0025,0.01,0
