FOMC Meeting,time,GBdate,ffl,ffr0,ffr1,ffr2,ffr3,ffr4,ffr5,ffr6,ffr7,ffr8,ffr9
2015mtg7,2015Q4,20151021,0.1,0.2,0.5,0.9,1.1,1.4,1.7,1.9,2.1,2.4,2.6
2015mtg8,2015Q4,20151209,0.1,0.2,0.5,0.8,1.1,1.4,1.7,2,2.3,2.5,2.8
2016mtg1,2016Q1,20160120,0.2,0.5,0.8,1.1,1.4,1.6,1.9,2.1,2.4,2.6,2.8
2016mtg2,2016Q1,20160309,0.2,0.5,0.9,1.2,1.4,1.6,1.9,2.1,2.3,2.6,2.8
2016mtg3,2016Q2,20160420,0.4,0.6,1,1.3,1.6,1.8,2.1,2.4,2.7,2.9,3.1
2016mtg4,2016Q2,20160608,0.4,0.4,0.6,0.8,0.9,1.1,1.3,1.6,1.9,2.1,2.4
2016mtg5,2016Q3,20160720,0.4,0.5,0.7,0.9,1.1,1.3,1.6,1.8,2.1,2.3,
2016mtg6,2016Q3,20160914,0.4,0.4,0.6,0.8,1,1.3,1.5,1.7,2,2.2,2.5
2016mtg7,2016Q4,20161026,0.4,0.6,0.8,1,1.2,1.5,1.7,1.9,2.2,2.4,2.6
2016mtg8,2016Q4,20161207,0.4,0.5,0.7,1,1.2,1.5,1.7,2,2.2,2.5,2.7
2017mtg1,2017Q1,20170123,0.4,0.7,1,1.2,1.5,1.8,2,2.3,2.5,2.8,3
2017mtg2,2017Q1,20170303,0.4,0.7,0.9,1.2,1.5,1.7,2,2.2,2.5,2.7,3
2017mtg3,2017Q2,20170421,0.7,1,1.2,1.5,1.7,2,2.3,2.6,2.8,3.1,3.3
2017mtg4,2017Q2,20170605,0.7,0.9,1.2,1.5,1.8,2.1,2.4,2.7,3,3.3,3.5
2017mtg5,2017Q3,20170714,0.9,1.2,1.4,1.7,2,2.3,2.5,2.8,3,3.1,
2017mtg6,2017Q3,20170908,0.9,1.2,1.4,1.7,2,2.3,2.6,2.9,3.1,3.3,3.5
2017mtg7,2017Q4,20171020,1.2,1.4,1.6,1.9,2.2,2.5,2.8,3,3.3,3.5,3.6
2017mtg8,2017Q4,20171201,1.2,1.3,1.5,1.9,2.2,2.5,2.8,3,3.3,3.5,3.6
2018mtg1,2018Q1,20180119,1.2,1.5,1.9,2.3,2.7,3.1,3.4,3.7,4,4.3,4.5
2018mtg2,2018Q1,20180309,1.2,1.5,1.9,2.3,2.7,3.1,3.5,3.8,4.1,4.4,4.6
2018mtg3,2018Q2,20180420,1.4,1.8,2.2,2.6,2.9,3.2,3.5,3.8,4.1,4.3,4.5
2018mtg4,2018Q2,20180601,1.4,1.8,2.2,2.6,2.9,3.2,3.5,3.8,4,4.2,4.4
2018mtg5,2018Q3,20180720,1.7,2.1,2.5,2.9,3.2,3.5,3.9,4.1,4.4,4.5,
2018mtg6,2018Q3,20180914,1.7,2,2.3,2.7,3,3.4,3.7,4,4.2,4.4,4.6
2018mtg7,2018Q4,20181026,1.9,2.2,2.6,3,3.3,3.6,3.9,4.1,4.3,4.5,4.6
2018mtg8,2018Q4,20181207,1.9,2.2,2.6,2.9,3.2,3.5,3.7,4,4.2,4.3,4.5
2019mtg1,2019Q1,20190118,2.2,2.6,2.9,3.2,3.5,3.7,3.9,4.1,4.2,4.3,4.4
2019mtg2,2019Q1,20190308,2.2,2.4,2.7,3,3.2,3.4,3.5,3.7,3.8,3.9,4
2019mtg3,2019Q2,20190419,2.4,2.4,2.4,2.4,2.5,2.5,2.6,2.6,2.6,2.7,2.7
2019mtg4,2019Q2,20190607,2.4,2.4,2.4,2.4,2.4,2.5,2.5,2.6,2.6,2.6,2.6
2019mtg5,2019Q3,20190719,2.4,2.4,2.5,2.5,2.6,2.6,2.6,2.6,2.7,2.7,
2019mtg6,2019Q3,20190906,2.4,2.2,2.2,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.5
2019mtg7,2019Q4,20191018,2.2,1.9,2,2.1,2.1,2.2,2.2,2.3,2.3,2.4,2.4
2019mtg8,2019Q4,20191126,2.2,1.7,1.8,1.9,2,2,2.1,2.2,2.3,2.3,2.4
